mjd, bright, cum_bright, dark, cum_dark, twilight, cum_twilight
60103.0, 5.86, 2048.09, 2.57, 2188.46, 1.39, 383.28
60104.0, 5.20, 2053.29, 3.22, 2191.68, 1.40, 384.68
60105.0, 4.63, 2057.92, 3.78, 2195.46, 1.40, 386.07
60106.0, 4.12, 2062.04, 4.27, 2199.73, 1.40, 387.47
60107.0, 1.40, 2063.45, 6.99, 2206.72, 1.40, 388.88
60108.0, 1.40, 2064.85, 6.98, 2213.70, 1.40, 390.28
60109.0, 1.40, 2066.25, 6.97, 2220.67, 1.40, 391.68
60110.0, 1.41, 2067.66, 6.96, 2227.64, 1.41, 393.09
60111.0, 1.41, 2069.07, 6.96, 2234.60, 1.41, 394.49
60112.0, 1.41, 2070.47, 6.95, 2241.55, 1.41, 395.90
60113.0, 1.41, 2071.88, 6.95, 2248.50, 1.41, 397.31
60114.0, 1.41, 2073.29, 6.95, 2255.45, 1.41, 398.72
60115.0, 1.41, 2074.70, 6.94, 2262.39, 1.41, 400.13
60116.0, 1.41, 2076.11, 6.94, 2269.34, 1.41, 401.54
60117.0, 1.41, 2077.52, 6.94, 2276.28, 1.41, 402.95
60118.0, 1.41, 2078.93, 6.95, 2283.22, 1.41, 404.36
60119.0, 1.41, 2080.34, 6.95, 2290.17, 1.41, 405.77
60120.0, 4.49, 2084.82, 3.87, 2294.04, 1.41, 407.17
60121.0, 4.90, 2089.72, 3.46, 2297.51, 1.41, 408.58
60122.0, 5.32, 2095.04, 3.05, 2300.56, 1.41, 409.99
60123.0, 5.77, 2100.82, 2.60, 2303.15, 1.41, 411.39
60124.0, 6.29, 2107.10, 2.09, 2305.25, 1.40, 412.80
60125.0, 6.90, 2114.00, 1.49, 2306.74, 1.40, 414.20
