mjd, bright, cum_bright, dark, cum_dark
60668.0, 3.22, 2418.29, 4.22, 3623.72
60679.0, 0.00, 2418.29, 7.53, 3631.25
60680.0, 0.00, 2418.29, 7.54, 3638.79
60681.0, 2.83, 2421.12, 4.73, 3643.52
60682.0, 3.36, 2424.49, 4.21, 3647.72
60683.0, 3.94, 2428.43, 3.65, 3651.37
60684.0, 4.59, 2433.02, 3.01, 3654.38
60685.0, 5.35, 2438.37, 2.28, 3656.66
60686.0, 6.23, 2444.60, 1.42, 3658.07
60687.0, 7.22, 2451.82, 0.44, 3658.52
60688.0, 7.68, 2459.50, 0.00, 3658.52
60691.0, 7.75, 2467.25, 0.00, 3658.52
60692.0, 6.91, 2474.16, 0.87, 3659.38
60693.0, 6.45, 2480.61, 1.34, 3660.73
60694.0, 6.03, 2486.63, 1.79, 3662.52
60695.0, 5.61, 2492.25, 2.23, 3664.75
60696.0, 5.18, 2497.43, 2.69, 3667.44
60697.0, 4.72, 2502.15, 3.17, 3670.61
60698.0, 4.20, 2506.35, 3.72, 3674.33
60699.0, 0.00, 2506.35, 7.95, 3682.28
60700.0, 0.00, 2506.35, 7.98, 3690.26
60701.0, 0.00, 2506.35, 8.00, 3698.26
60702.0, 0.00, 2506.35, 8.03, 3706.30
60703.0, 0.00, 2506.35, 8.06, 3714.36
60704.0, 0.00, 2506.35, 8.09, 3722.45
60705.0, 0.00, 2506.35, 8.12, 3730.57
60706.0, 0.00, 2506.35, 8.15, 3738.72
60707.0, 0.00, 2506.35, 8.18, 3746.90
60708.0, 0.00, 2506.35, 8.21, 3755.11
60709.0, 0.00, 2506.35, 8.24, 3763.35
60710.0, 2.18, 2508.53, 6.09, 3769.45
60711.0, 2.82, 2511.36, 5.48, 3774.93
60712.0, 3.55, 2514.90, 4.79, 3779.72
60713.0, 4.38, 2519.29, 3.98, 3783.70
60714.0, 5.33, 2524.62, 3.07, 3786.77
60715.0, 6.37, 2531.00, 2.06, 3788.82
60716.0, 7.45, 2538.45, 1.01, 3789.83
60717.0, 8.50, 2546.95, 0.00, 3789.83
60718.0, 8.53, 2555.48, 0.00, 3789.83
60721.0, 8.63, 2564.11, 0.00, 3789.83
60722.0, 8.06, 2572.16, 0.60, 3790.44
60723.0, 7.63, 2579.80, 1.06, 3791.50
60724.0, 7.19, 2586.98, 1.54, 3793.04
60725.0, 6.69, 2593.67, 2.07, 3795.11
60726.0, 6.13, 2599.80, 2.66, 3797.77
60727.0, 5.47, 2605.28, 3.35, 3801.12
60728.0, 0.00, 2605.28, 8.86, 3809.98
60729.0, 0.00, 2605.28, 8.89, 3818.87
60730.0, 0.00, 2605.28, 8.93, 3827.80
60731.0, 0.00, 2605.28, 8.96, 3836.76
60732.0, 0.00, 2605.28, 8.99, 3845.75
60733.0, 0.00, 2605.28, 9.03, 3854.78
60734.0, 0.00, 2605.28, 9.06, 3863.83
60735.0, 0.00, 2605.28, 9.09, 3872.92
60736.0, 0.00, 2605.28, 9.12, 3882.05
60737.0, 0.00, 2605.28, 9.16, 3891.21
60738.0, 0.00, 2605.28, 9.19, 3900.39
60739.0, 0.00, 2605.28, 9.22, 3909.62
60740.0, 2.81, 2608.09, 6.44, 3916.06
60741.0, 3.74, 2611.84, 5.54, 3921.60
60742.0, 4.76, 2616.60, 4.56, 3926.16
60743.0, 5.83, 2622.43, 3.52, 3929.68
60744.0, 6.90, 2629.33, 2.48, 3932.16
60745.0, 7.94, 2637.27, 1.48, 3933.64
60746.0, 8.93, 2646.20, 0.52, 3934.15
60747.0, 9.48, 2655.68, 0.00, 3934.15
60750.0, 9.57, 2665.26, 0.00, 3934.15
60751.0, 9.60, 2674.86, 0.00, 3934.15
60752.0, 9.03, 2683.89, 0.61, 3934.76
60753.0, 8.49, 2692.38, 1.17, 3935.93
60754.0, 7.88, 2700.26, 1.82, 3937.76
60755.0, 7.16, 2707.41, 2.57, 3940.33
60756.0, 6.33, 2713.74, 3.43, 3943.75
60757.0, 5.39, 2719.14, 4.40, 3948.15
60758.0, 0.00, 2719.14, 9.82, 3957.97
60759.0, 0.00, 2719.14, 9.85, 3967.82
60760.0, 0.00, 2719.14, 9.88, 3977.69
60761.0, 0.00, 2719.14, 9.91, 3987.60
60762.0, 0.00, 2719.14, 9.94, 3997.54
60763.0, 0.00, 2719.14, 9.97, 4007.50
60764.0, 0.00, 2719.14, 9.99, 4017.50
60765.0, 0.00, 2719.14, 10.02, 4027.52
60766.0, 0.00, 2719.14, 10.05, 4037.57
60767.0, 0.00, 2719.14, 10.08, 4047.65
60768.0, 0.00, 2719.14, 10.11, 4057.76
60769.0, 3.17, 2722.30, 6.97, 4064.73
60770.0, 4.24, 2726.55, 5.92, 4070.65
60771.0, 5.33, 2731.87, 4.86, 4075.51
60772.0, 6.38, 2738.25, 3.84, 4079.36
60773.0, 7.37, 2745.62, 2.87, 4082.23
60774.0, 8.33, 2753.95, 1.95, 4084.17
60775.0, 9.24, 2763.20, 1.05, 4085.23
60776.0, 10.33, 2773.52, 0.00, 4085.23
60777.0, 10.35, 2783.87, 0.00, 4085.23
60780.0, 10.43, 2794.30, 0.00, 4085.23
60781.0, 10.45, 2804.75, 0.00, 4085.23
60782.0, 9.45, 2814.21, 1.02, 4086.25
60783.0, 8.67, 2822.88, 1.83, 4088.08
60784.0, 7.78, 2830.66, 2.75, 4090.83
60785.0, 6.81, 2837.46, 3.74, 4094.58
60786.0, 5.78, 2843.24, 4.80, 4099.37
60787.0, 4.72, 2847.96, 5.88, 4105.25
60788.0, 0.00, 2847.96, 10.62, 4115.87
60789.0, 0.00, 2847.96, 10.65, 4126.52
60790.0, 0.00, 2847.96, 10.67, 4137.19
60791.0, 0.00, 2847.96, 10.69, 4147.88
60792.0, 0.00, 2847.96, 10.71, 4158.59
60793.0, 0.00, 2847.96, 10.73, 4169.32
60794.0, 0.00, 2847.96, 10.76, 4180.08
60795.0, 0.00, 2847.96, 10.78, 4190.86
60796.0, 0.00, 2847.96, 10.80, 4201.66
60797.0, 0.00, 2847.96, 10.82, 4212.48
60798.0, 0.00, 2847.96, 10.84, 4223.32
60799.0, 4.64, 2852.61, 6.22, 4229.53
60800.0, 5.67, 2858.28, 5.21, 4234.74
60801.0, 6.64, 2864.92, 4.26, 4239.00
60802.0, 7.56, 2872.48, 3.36, 4242.36
60803.0, 8.45, 2880.93, 2.48, 4244.84
60804.0, 9.34, 2890.27, 1.62, 4246.46
60805.0, 10.23, 2900.50, 0.74, 4247.20
60806.0, 10.99, 2911.50, 0.00, 4247.20
60807.0, 11.01, 2922.51, 0.00, 4247.20
60810.0, 11.06, 2933.57, 0.00, 4247.20
60811.0, 10.08, 2943.65, 0.99, 4248.20
60812.0, 9.14, 2952.79, 1.95, 4250.15
60813.0, 8.13, 2960.92, 2.97, 4253.12
60814.0, 7.11, 2968.02, 4.02, 4257.14
60815.0, 6.07, 2974.10, 5.07, 4262.20
60816.0, 5.04, 2979.13, 6.11, 4268.32
60817.0, 0.00, 2979.13, 11.16, 4279.48
60818.0, 0.00, 2979.13, 11.18, 4290.66
60819.0, 0.00, 2979.13, 11.19, 4301.85
60820.0, 0.00, 2979.13, 11.20, 4313.05
60821.0, 0.00, 2979.13, 11.22, 4324.27
60822.0, 0.00, 2979.13, 11.23, 4335.50
60823.0, 0.00, 2979.13, 11.24, 4346.74
60824.0, 0.00, 2979.13, 11.25, 4357.99
60825.0, 0.00, 2979.13, 11.26, 4369.24
60826.0, 0.00, 2979.13, 11.27, 4380.51
60827.0, 0.00, 2979.13, 11.28, 4391.79
60828.0, 4.66, 2983.80, 6.63, 4398.42
60829.0, 5.61, 2989.41, 5.69, 4404.11
60830.0, 6.51, 2995.92, 4.79, 4408.90
60831.0, 7.39, 3003.31, 3.92, 4412.82
60832.0, 8.28, 3011.59, 3.05, 4415.87
60833.0, 9.17, 3020.76, 2.16, 4418.02
60834.0, 10.09, 3030.85, 1.24, 4419.26
60835.0, 11.34, 3042.19, 0.00, 4419.26
60836.0, 11.35, 3053.54, 0.00, 4419.26
60837.0, 11.35, 3064.89, 0.00, 4419.26
60840.0, 10.42, 3075.31, 0.94, 4420.20
60841.0, 9.39, 3084.70, 1.97, 4422.17
60842.0, 8.36, 3093.06, 3.01, 4425.18
60843.0, 7.33, 3100.40, 4.04, 4429.22
60844.0, 6.31, 3106.71, 5.06, 4434.28
60845.0, 5.28, 3111.99, 6.09, 4440.36
60846.0, 0.00, 3111.99, 11.37, 4451.74
60847.0, 0.00, 3111.99, 11.37, 4463.11
60848.0, 0.00, 3111.99, 11.37, 4474.49
60849.0, 0.00, 3111.99, 11.37, 4485.86
60850.0, 0.00, 3111.99, 11.37, 4497.23
60851.0, 0.00, 3111.99, 11.37, 4508.60
60852.0, 0.00, 3111.99, 11.37, 4519.97
60853.0, 0.00, 3111.99, 11.36, 4531.33
60854.0, 0.00, 3111.99, 11.36, 4542.69
60855.0, 0.00, 3111.99, 11.36, 4554.05
60856.0, 0.00, 3111.99, 11.35, 4565.40
60857.0, 0.00, 3111.99, 11.35, 4576.75
60858.0, 5.18, 3117.18, 6.16, 4582.91
60859.0, 6.07, 3123.24, 5.27, 4588.19
60860.0, 6.95, 3130.20, 4.38, 4592.56
60861.0, 7.86, 3138.06, 3.46, 4596.03
60862.0, 8.80, 3146.86, 2.52, 4598.55
60863.0, 9.75, 3156.61, 1.56, 4600.11
60864.0, 10.70, 3167.31, 0.60, 4600.71
60865.0, 11.30, 3178.60, 0.00, 4600.71
60866.0, 11.29, 3189.89, 0.00, 4600.71
60869.0, 10.51, 3200.40, 0.75, 4601.47
60870.0, 9.46, 3209.86, 1.79, 4603.26
60871.0, 8.42, 3218.28, 2.82, 4606.07
60872.0, 7.39, 3225.67, 3.84, 4609.91
60873.0, 6.34, 3232.00, 4.88, 4614.79
60874.0, 5.25, 3237.26, 5.95, 4620.74
60875.0, 0.00, 3237.26, 11.19, 4631.92
60876.0, 0.00, 3237.26, 11.18, 4643.10
60877.0, 0.00, 3237.26, 11.16, 4654.27
60878.0, 0.00, 3237.26, 11.15, 4665.42
60879.0, 0.00, 3237.26, 11.14, 4676.55
60880.0, 0.00, 3237.26, 11.12, 4687.67
